                                                                                                                             Layer       Input Shape  Parameters
                              ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_20_batchnorm/beta:0             (128)         128
             ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_21_depthwise_conv/depthwise_kernel:0    (3, 3, 128, 1)        1152
             ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_21_depthwise_conv/pointwise_kernel:0  (1, 1, 128, 128)       16384
                             ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_21_batchnorm/gamma:0             (128)         128
                              ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_21_batchnorm/beta:0             (128)         128
                                                                                                                    Conv1/kernel:0     (3, 3, 3, 32)         864
                                                                                                                  bn_Conv1/gamma:0              (32)          32
                                                                                                                   bn_Conv1/beta:0              (32)          32
                                                                                        expanded_conv_depthwise/depthwise_kernel:0     (3, 3, 32, 1)         288
                                                                                                expanded_conv_depthwise_BN/gamma:0              (32)          32
                                                                                                 expanded_conv_depthwise_BN/beta:0              (32)          32
                                                                                                    expanded_conv_project/kernel:0    (1, 1, 32, 16)         512
                                                                                                  expanded_conv_project_BN/gamma:0              (16)          16
                                                                                                   expanded_conv_project_BN/beta:0              (16)          16
                                                                                                           block_1_expand/kernel:0    (1, 1, 16, 96)        1536
                                                                                                         block_1_expand_BN/gamma:0              (96)          96
                                                                                                          block_1_expand_BN/beta:0              (96)          96
                                                                                              block_1_depthwise/depthwise_kernel:0     (3, 3, 96, 1)         864
                                                                                                      block_1_depthwise_BN/gamma:0              (96)          96
                                                                                                       block_1_depthwise_BN/beta:0              (96)          96
                                                                                                          block_1_project/kernel:0    (1, 1, 96, 24)        2304
                                                                                                        block_1_project_BN/gamma:0              (24)          24
                                                                                                         block_1_project_BN/beta:0              (24)          24
                                                                                                           block_2_expand/kernel:0   (1, 1, 24, 144)        3456
                                                                                                         block_2_expand_BN/gamma:0             (144)         144
                                                                                                          block_2_expand_BN/beta:0             (144)         144
                                                                                              block_2_depthwise/depthwise_kernel:0    (3, 3, 144, 1)        1296
                                                                                                      block_2_depthwise_BN/gamma:0             (144)         144
                                                                                                       block_2_depthwise_BN/beta:0             (144)         144
                                                                                                          block_2_project/kernel:0   (1, 1, 144, 24)        3456
                                                                                                        block_2_project_BN/gamma:0              (24)          24
                                                                                                         block_2_project_BN/beta:0              (24)          24
                                                                                                           block_3_expand/kernel:0   (1, 1, 24, 144)        3456
                                                                                                         block_3_expand_BN/gamma:0             (144)         144
                                                                                                          block_3_expand_BN/beta:0             (144)         144
                                                                                              block_3_depthwise/depthwise_kernel:0    (3, 3, 144, 1)        1296
                                                                                                      block_3_depthwise_BN/gamma:0             (144)         144
                                                                                                       block_3_depthwise_BN/beta:0             (144)         144
                                                                                                          block_3_project/kernel:0   (1, 1, 144, 32)        4608
