                                                                                                                             Layer       Input Shape  Parameters
                       ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_21_batchnorm/moving_mean:0             (128)         128
                   ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_21_batchnorm/moving_variance:0             (128)         128
                                                                                                            bn_Conv1/moving_mean:0              (32)          32
                                                                                                        bn_Conv1/moving_variance:0              (32)          32
                                                                                          expanded_conv_depthwise_BN/moving_mean:0              (32)          32
                                                                                      expanded_conv_depthwise_BN/moving_variance:0              (32)          32
                                                                                            expanded_conv_project_BN/moving_mean:0              (16)          16
                                                                                        expanded_conv_project_BN/moving_variance:0              (16)          16
                                                                                                   block_1_expand_BN/moving_mean:0              (96)          96
                                                                                               block_1_expand_BN/moving_variance:0              (96)          96
                                                                                                block_1_depthwise_BN/moving_mean:0              (96)          96
                                                                                            block_1_depthwise_BN/moving_variance:0              (96)          96
                                                                                                  block_1_project_BN/moving_mean:0              (24)          24
                                                                                              block_1_project_BN/moving_variance:0              (24)          24
                                                                                                   block_2_expand_BN/moving_mean:0             (144)         144
                                                                                               block_2_expand_BN/moving_variance:0             (144)         144
                                                                                                block_2_depthwise_BN/moving_mean:0             (144)         144
                                                                                            block_2_depthwise_BN/moving_variance:0             (144)         144
                                                                                                  block_2_project_BN/moving_mean:0              (24)          24
                                                                                              block_2_project_BN/moving_variance:0              (24)          24
                                                                                                   block_3_expand_BN/moving_mean:0             (144)         144
                                                                                               block_3_expand_BN/moving_variance:0             (144)         144
                                                                                                block_3_depthwise_BN/moving_mean:0             (144)         144
                                                                                            block_3_depthwise_BN/moving_variance:0             (144)         144
                                                                                                  block_3_project_BN/moving_mean:0              (32)          32
                                                                                              block_3_project_BN/moving_variance:0              (32)          32
                                                                                                   block_4_expand_BN/moving_mean:0             (192)         192
                                                                                               block_4_expand_BN/moving_variance:0             (192)         192
                                                                                                block_4_depthwise_BN/moving_mean:0             (192)         192
                                                                                            block_4_depthwise_BN/moving_variance:0             (192)         192
                                                                                                  block_4_project_BN/moving_mean:0              (32)          32
                                                                                              block_4_project_BN/moving_variance:0              (32)          32
                                                                                                   block_5_expand_BN/moving_mean:0             (192)         192
                                                                                               block_5_expand_BN/moving_variance:0             (192)         192
                                                                                                block_5_depthwise_BN/moving_mean:0             (192)         192
                                                                                            block_5_depthwise_BN/moving_variance:0             (192)         192
                                                                                                  block_5_project_BN/moving_mean:0              (32)          32
                                                                                              block_5_project_BN/moving_variance:0              (32)          32
                                                                                                   block_6_expand_BN/moving_mean:0             (192)         192
                                                                                               block_6_expand_BN/moving_variance:0             (192)         192
                                                                                                block_6_depthwise_BN/moving_mean:0             (192)         192
                                                                                            block_6_depthwise_BN/moving_variance:0             (192)         192
                                                                                                  block_6_project_BN/moving_mean:0              (64)          64
                                                                                              block_6_project_BN/moving_variance:0              (64)          64
                                                                                                   block_7_expand_BN/moving_mean:0             (384)         384
                                                                                               block_7_expand_BN/moving_variance:0             (384)         384
                                                                                                block_7_depthwise_BN/moving_mean:0             (384)         384
                                                                                            block_7_depthwise_BN/moving_variance:0             (384)         384
                                                                                                  block_7_project_BN/moving_mean:0              (64)          64
                                                                                              block_7_project_BN/moving_variance:0              (64)          64
                                                                                                   block_8_expand_BN/moving_mean:0             (384)         384
                                                                                               block_8_expand_BN/moving_variance:0             (384)         384
                                                                                                block_8_depthwise_BN/moving_mean:0             (384)         384
                                                                                            block_8_depthwise_BN/moving_variance:0             (384)         384
                                                                                                  block_8_project_BN/moving_mean:0              (64)          64
                                                                                              block_8_project_BN/moving_variance:0              (64)          64
                                                                                                   block_9_expand_BN/moving_mean:0             (384)         384
                                                                                               block_9_expand_BN/moving_variance:0             (384)         384
                                                                                                block_9_depthwise_BN/moving_mean:0             (384)         384
                                                                                            block_9_depthwise_BN/moving_variance:0             (384)         384
                                                                                                  block_9_project_BN/moving_mean:0              (64)          64
                                                                                              block_9_project_BN/moving_variance:0              (64)          64
                                                                                                  block_10_expand_BN/moving_mean:0             (384)         384
                                                                                              block_10_expand_BN/moving_variance:0             (384)         384
                                                                                               block_10_depthwise_BN/moving_mean:0             (384)         384
                                                                                           block_10_depthwise_BN/moving_variance:0             (384)         384
                                                                                                 block_10_project_BN/moving_mean:0              (96)          96
                                                                                             block_10_project_BN/moving_variance:0              (96)          96
                                                                                                  block_11_expand_BN/moving_mean:0             (576)         576
                                                                                              block_11_expand_BN/moving_variance:0             (576)         576
                                                                                               block_11_depthwise_BN/moving_mean:0             (576)         576
                                                                                           block_11_depthwise_BN/moving_variance:0             (576)         576
                                                                                                 block_11_project_BN/moving_mean:0              (96)          96
                                                                                             block_11_project_BN/moving_variance:0              (96)          96
                                                                                                  block_12_expand_BN/moving_mean:0             (576)         576
                                                                                              block_12_expand_BN/moving_variance:0             (576)         576
                                                                                               block_12_depthwise_BN/moving_mean:0             (576)         576
                                                                                           block_12_depthwise_BN/moving_variance:0             (576)         576
                                                                                                 block_12_project_BN/moving_mean:0              (96)          96
                                                                                             block_12_project_BN/moving_variance:0              (96)          96
                                                                                                  block_13_expand_BN/moving_mean:0             (576)         576
                                                                                              block_13_expand_BN/moving_variance:0             (576)         576
                                                                                               block_13_depthwise_BN/moving_mean:0             (576)         576
                                                                                           block_13_depthwise_BN/moving_variance:0             (576)         576
                                                                                                 block_13_project_BN/moving_mean:0             (160)         160
                                                                                             block_13_project_BN/moving_variance:0             (160)         160
                                                                                                  block_14_expand_BN/moving_mean:0             (960)         960
                                                                                              block_14_expand_BN/moving_variance:0             (960)         960
                                                                                               block_14_depthwise_BN/moving_mean:0             (960)         960
                                                                                           block_14_depthwise_BN/moving_variance:0             (960)         960
                                                                                                 block_14_project_BN/moving_mean:0             (160)         160
                                                                                             block_14_project_BN/moving_variance:0             (160)         160
                                                                                                  block_15_expand_BN/moving_mean:0             (960)         960
                                                                                              block_15_expand_BN/moving_variance:0             (960)         960
                                                                                               block_15_depthwise_BN/moving_mean:0             (960)         960
                                                                                           block_15_depthwise_BN/moving_variance:0             (960)         960
                                                                                                 block_15_project_BN/moving_mean:0             (160)         160
                                                                                             block_15_project_BN/moving_variance:0             (160)         160
                                                                                                  block_16_expand_BN/moving_mean:0             (960)         960
                                                                                              block_16_expand_BN/moving_variance:0             (960)         960
                                                                                               block_16_depthwise_BN/moving_mean:0             (960)         960
                                                                                           block_16_depthwise_BN/moving_variance:0             (960)         960
                                                                                                 block_16_project_BN/moving_mean:0             (320)         320
                                                                                             block_16_project_BN/moving_variance:0             (320)         320
                                                                                                           Conv_1_bn/moving_mean:0            (1280)        1280
                                                                                                       Conv_1_bn/moving_variance:0            (1280)        1280
          ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/FeatureMaps/top_down/smoothing_2_batchnorm/moving_mean:0             (128)         128
      ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/FeatureMaps/top_down/smoothing_2_batchnorm/moving_variance:0             (128)         128
          ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/FeatureMaps/top_down/smoothing_1_batchnorm/moving_mean:0             (128)         128
      ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/FeatureMaps/top_down/smoothing_1_batchnorm/moving_variance:0             (128)         128
