,Wall time,Step,Value
0,1716091083.112201,0,0.0
1,1716091263.544532,1000,0.1422222256660461
2,1716091461.451124,3000,0.2866666615009308
3,1716091666.462678,6000,0.297777771949768
4,1716091865.660089,8000,0.3466666638851166
5,1716092062.114708,10000,0.3622222244739532
6,1716092262.55492,12000,0.3822222352027893
7,1716092465.185414,15000,0.3844444453716278
8,1716092664.875474,17000,0.3844444453716278
9,1716092864.48092,19000,0.3911111056804657
10,1716093060.561474,21000,0.4000000059604645
11,1716093266.934187,23000,0.4066666662693023
12,1716093468.285865,26000,0.4066666662693023
13,1716093670.603891,28000,0.4066666662693023
14,1716093868.411391,30000,0.4133333265781402
15,1716094069.672273,32000,0.4133333265781402
16,1716094268.982492,34000,0.4155555665493011
17,1716094469.906604,37000,0.4199999868869781
18,1716094675.093489,39000,0.422222226858139
19,1716094869.824009,41000,0.4244444370269775
20,1716095070.736782,43000,0.4266666769981384
21,1716095276.03567,45000,0.4266666769981384
22,1716095474.412452,48000,0.4266666769981384
23,1716095673.594344,50000,0.4266666769981384
24,1717073687.73234,53000,0.4311110973358154
25,1717073888.291914,55000,0.4311110973358154
26,1717074085.333514,58000,0.4355555474758148
27,1717074288.262033,60000,0.4377777874469757
28,1717074489.831076,62000,0.4533333480358124
29,1717074686.47457,64000,0.4622222185134887
30,1717074890.819241,67000,0.4644444584846496
31,1717075092.48679,69000,0.4666666686534881
32,1717075287.969888,71000,0.4666666686534881
33,1717075491.099614,73000,0.4711111187934875
34,1717075691.929254,75000,0.473333328962326
35,1717075894.263218,78000,0.4755555689334869
36,1717076094.622832,80000,0.4755555689334869
37,1717076295.662631,82000,0.4844444394111633
38,1717076498.534866,84000,0.4844444394111633
39,1717076702.28328,87000,0.4866666793823242
40,1717076897.205587,89000,0.4866666793823242
41,1717077096.229543,91000,0.4888888895511627
42,1717077296.06738,93000,0.4933333396911621
43,1717077497.117351,95000,0.504444420337677
44,1717077698.08852,97000,0.5088889002799988
45,1716102675.049611,100000,0.5111111402511597
