,Wall time,Step,Value
0,1716091083.114181,0,0.0
1,1716091263.553241,1000,0.5531120300292969
2,1716091461.45388,3000,0.6058091521263123
3,1716091666.471881,6000,0.6551867127418518
4,1716091865.663988,8000,0.663070559501648
5,1716092062.117813,10000,0.6813278198242188
6,1716092262.561095,12000,0.6929460763931274
7,1716092465.189174,15000,0.7008298635482788
8,1716092664.881154,17000,0.7049792408943176
9,1716092864.486687,19000,0.7190871238708496
10,1716093060.565416,21000,0.7224066257476807
11,1716093266.940911,23000,0.7253112196922302
12,1716093468.288407,26000,0.7327800989151001
13,1716093670.610617,28000,0.7360996007919312
14,1716093868.413538,30000,0.7406638860702515
15,1716094069.682795,32000,0.7410788536071777
16,1716094268.984795,34000,0.7510373592376709
17,1716094469.909039,37000,0.7547717690467834
18,1716094675.100427,39000,0.7572613954544067
19,1716094869.830932,41000,0.7668049931526184
20,1716095070.73902,43000,0.7726141214370728
21,1716095276.043692,45000,0.7771784067153931
22,1716095474.416759,48000,0.7792531251907349
23,1716095673.598607,50000,0.7809128761291504
24,1717073687.734509,53000,0.7813277840614319
25,1717073888.29466,55000,0.7821576595306396
26,1717074085.335504,58000,0.7896265387535095
27,1717074288.264949,60000,0.791286289691925
28,1717074489.835199,62000,0.8024896383285522
29,1717074686.476749,64000,0.816182553768158
30,1717074890.822298,67000,0.819502055644989
31,1717075092.492784,69000,0.8286306858062744
32,1717075287.972453,71000,0.8352696895599365
33,1717075491.101644,73000,0.836929440498352
34,1717075691.931414,75000,0.8406639099121094
35,1717075894.2729,78000,0.8464730381965637
36,1717076094.624595,80000,0.8473029136657715
37,1717076295.665317,82000,0.8493775725364685
38,1717076498.540197,84000,0.8497925400733948
39,1717076702.287098,87000,0.8539419174194336
40,1717076897.210578,89000,0.8568464517593384
41,1717077096.233866,91000,0.8580912947654724
42,1717077296.079477,93000,0.8580912947654724
43,1717077497.125907,95000,0.8580912947654724
44,1717077698.093061,97000,0.8589211702346802
45,1716102675.054171,100000,0.8601659536361694
