,Wall time,Step,Value
0,1716091038.207402,100,0.74495323181152
1,1716091048.021654,200,0.731495323181152
2,1716091057.375312,300,0.720495323181152
3,1716091066.672712,400,0.7101516423225404
4,1716091076.002672,500,0.7051150803565979
5,1716091084.968061,600,0.7007710518836975
6,1716091093.20481,700,0.664840579032898
7,1716091101.495652,800,0.6201962232589722
8,1716091109.75139,900,0.5802232027053833
9,1716091118.05113,1000,0.5779277682304382
10,1716091127.815935,1100,0.577133297920227
11,1716091136.085914,1200,0.5638312101364136
12,1716091144.772394,1300,0.5623282790184021
13,1716091153.583171,1400,0.5589913725852966
14,1716091162.131004,1500,0.5557818412780762
15,1716091170.903596,1600,0.555133297920227
16,1716091180.098311,1700,0.5541507005691528
17,1716091189.240403,1800,0.5308598279953003
18,1716091198.52506,1900,0.5203163027763367
19,1716091207.84203,2000,0.5062445402145386
20,1716091223.264142,2100,0.5038257241249084
21,1716091232.805317,2200,0.5022581219673157
22,1716091242.429701,2300,0.500613272190094
23,1716091252.118316,2400,0.4945836365222931
24,1716091261.36809,2500,0.4940871596336365
25,1716091269.931636,2600,0.4850494861602783
26,1716091278.259546,2700,0.4622645676136017
27,1716091287.012114,2800,0.4595628380775451
28,1716091295.434829,2900,0.4593279659748077
29,1716091303.83699,3000,0.4588449597358703
30,1716091312.932813,3100,0.4580861926078796
31,1716091321.328298,3200,0.4556699693202972
32,1716091329.786802,3300,0.4498969316482544
33,1716091338.20087,3400,0.4484919905662536
34,1716091346.638209,3500,0.4440230131149292
35,1716091355.219743,3600,0.4439485967159271
36,1716091363.574583,3700,0.4352100789546966
37,1716091371.945013,3800,0.4349387288093567
38,1716091380.402701,3900,0.4338999688625335
39,1716091389.511943,4000,0.4331392049789428
40,1716091400.12364,4100,0.4310989677906036
41,1716091409.434883,4200,0.4310951828956604
42,1716091419.2017,4300,0.4298011064529419
43,1716091428.752585,4400,0.4280836582183838
44,1716091438.168285,4500,0.4257696866989136
45,1716091447.774206,4600,0.41822150349617
