,Wall time,Step,Value
0,1716091083.087938,0,0.0
1,1716091263.516394,1000,0.086249254643917
2,1716091461.431241,3000,0.4869550168514251
3,1716091666.411054,6000,0.5429404973983765
4,1716091865.63447,8000,0.5709100961685181
5,1716092062.092108,10000,0.5899603962898254
6,1716092262.517649,12000,0.5924638509750366
7,1716092465.149638,15000,0.6038408875465393
8,1716092664.832844,17000,0.6057966351509094
9,1716092864.436496,19000,0.607842743396759
10,1716093060.542243,21000,0.6127467751502991
11,1716093266.892309,23000,0.6281560659408569
12,1716093468.257512,26000,0.631195068359375
13,1716093670.559165,28000,0.642654538154602
14,1716093868.39155,30000,0.649980366230011
15,1716094069.651301,32000,0.6501678228378296
16,1716094268.94644,34000,0.6520881056785583
17,1716094469.882607,37000,0.6573539972305298
18,1716094675.054284,39000,0.6582416296005249
19,1716094869.807277,41000,0.6630994081497192
20,1716095070.71644,43000,0.6636559367179871
21,1716095275.999816,45000,0.6730271577835083
22,1716095474.393638,48000,0.6765636205673218
23,1716095673.564947,50000,0.6777640581130981
24,1717073687.710523,53000,0.678877592086792
25,1717073888.270923,55000,0.6912894248962402
26,1717074085.305076,58000,0.6932413578033447
27,1717074288.210157,60000,0.6961506605148315
28,1717074489.795788,62000,0.7014999389648438
29,1717074686.454144,64000,0.7148580551147461
30,1717074890.777955,67000,0.7158268690109253
31,1717075092.445688,69000,0.7193820476531982
32,1717075287.944704,71000,0.7198489904403687
33,1717075491.063316,73000,0.720491886138916
34,1717075691.898914,75000,0.7271277904510498
35,1717075894.208437,78000,0.7276021838188171
36,1717076094.59275,80000,0.7297029495239258
37,1717076295.634261,82000,0.7356476783752441
38,1717076498.488313,84000,0.7359344959259033
39,1717076702.247044,87000,0.7400051951408386
40,1717076897.12785,89000,0.7400174736976624
41,1717077096.181405,91000,0.7411018013954163
42,1717077296.011495,93000,0.7416752576828003
43,1717077497.086334,95000,0.7429638504981995
44,1717077698.042592,97000,0.7433333396911621
45,1717077865.440257,100000,0.7441279292106628
