,Wall time,Step,Value
0,1716091083.110215,0,0.0
1,1716091263.538701,1000,0.4920454621315002
2,1716091461.449587,3000,0.5994834899902344
3,1716091666.451551,6000,0.6526859402656555
4,1716091865.658847,8000,0.663223147392273
5,1716092062.112744,10000,0.6684917211532593
6,1716092262.552841,12000,0.6884297728538513
7,1716092465.183953,15000,0.6899793148040771
8,1716092664.872328,17000,0.6912190318107605
9,1716092864.477166,19000,0.6932851076126099
10,1716093060.55926,21000,0.6949380040168762
11,1716093266.93172,23000,0.7105371952056885
12,1716093468.2845,26000,0.711053729057312
13,1716093670.601338,28000,0.7161157131195068
14,1716093868.410526,30000,0.7166322469711304
15,1716094069.670776,32000,0.7177686095237732
16,1716094268.980859,34000,0.7190082669258118
17,1716094469.905382,37000,0.7274793386459351
18,1716094675.089593,39000,0.7275826334953308
19,1716094869.82289,41000,0.7363636493682861
20,1716095070.734331,43000,0.7365702390670776
21,1716095276.03287,45000,0.7365702390670776
22,1716095474.41124,48000,0.7405991554260254
23,1716095673.592807,50000,0.7442148923873901
24,1717073687.731063,53000,0.7466942071914673
25,1717073888.288891,55000,0.7474173307418823
26,1717074085.332523,58000,0.7480372190475464
27,1717074288.260372,60000,0.7508264183998108
28,1717074489.82942,62000,0.7541322112083435
29,1717074686.473445,64000,0.7641528844833374
30,1717074890.817406,67000,0.7674586772918701
31,1717075092.483471,69000,0.7675619721412659
32,1717075287.967141,71000,0.7708677649497986
33,1717075491.098466,73000,0.7716942429542542
34,1717075691.928427,75000,0.776756227016449
35,1717075894.25798,78000,0.7772727012634277
36,1717076094.621859,80000,0.781095027923584
37,1717076295.660629,82000,0.7833677530288696
38,1717076498.533016,84000,0.7836776971817017
39,1717076702.281709,87000,0.7886363863945007
40,1717076897.200419,89000,0.7909091114997864
41,1717077096.226897,91000,0.7911157011985779
42,1717077296.057556,93000,0.7918388247489929
43,1717077497.115353,95000,0.7918388247489929
44,1717077698.08615,97000,0.7933884263038635
45,1716102675.047122,100000,0.7944214940071106
