,Wall time,Step,Value
0,1716091083.105197,0,0.0
1,1716091263.531623,1000,0.1348535269498825
2,1716091461.444477,3000,0.5157921314239502
3,1716091666.432697,6000,0.5814971327781677
4,1716091865.650541,8000,0.5910673141479492
5,1716092062.107536,10000,0.6052101850509644
6,1716092262.54498,12000,0.6239936947822571
7,1716092465.175323,15000,0.6325910687446594
8,1716092664.857172,17000,0.6354519128799438
9,1716092864.452538,19000,0.6366877555847168
10,1716093060.55324,21000,0.6372753977775574
11,1716093266.920104,23000,0.6417103409767151
12,1716093468.273522,26000,0.6547600626945496
13,1716093670.591593,28000,0.6584562659263611
14,1716093868.404564,30000,0.6641710996627808
15,1716094069.663892,32000,0.6646900177001953
16,1716094268.97164,34000,0.6653023958206177
17,1716094469.90021,37000,0.6686673164367676
18,1716094675.07745,39000,0.6714411973953247
19,1716094869.819148,41000,0.6733422875404358
20,1716095070.728907,43000,0.6769959926605225
21,1716095276.020671,45000,0.6854164004325867
22,1716095474.405766,48000,0.6887689232826233
23,1716095673.584593,50000,0.6908075213432312
24,1717073687.726367,53000,0.6923061013221741
25,1717073888.283482,55000,0.6997874975204468
26,1717074085.327719,58000,0.7005717754364014
27,1717074288.241586,60000,0.7029316425323486
28,1717074489.821095,62000,0.7051340937614441
29,1717074686.467043,64000,0.7102164030075073
30,1717074890.806652,67000,0.712783694267273
31,1717075092.477168,69000,0.7152166366577148
32,1717075287.958527,71000,0.7158185243606567
33,1717075491.092165,73000,0.7171745896339417
34,1717075691.924043,75000,0.718492865562439
35,1717075894.243867,78000,0.7188501358032227
36,1717076094.614834,80000,0.7256218194961548
37,1717076295.654039,82000,0.73089200258255
38,1717076498.524579,84000,0.73321533203125
39,1717076702.275319,87000,0.7340921759605408
40,1717076897.172163,89000,0.7351073026657104
41,1717077096.213479,91000,0.735945463180542
42,1717077296.047071,93000,0.7378629446029663
43,1717077497.109767,95000,0.7378906607627869
44,1717077698.073101,97000,0.7382232546806335
45,1716102675.037652,100000,0.7387489080429077
